"BillType","BillNumber","Sequence","Sponsor","Type","Status","SponDate","WithDate","ModDate"
"S",2040,2,"Singleton, Troy","C","A",11/17/2025 0:00:00,,11/17/2025 0:00:00
"S",2041,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2042,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2042,2,"Sarlo, Paul A.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2043,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2044,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2044,2,"Polistina, Vincent J.","P","A",1/9/2024 0:00:00,,1/17/2024 0:00:00
"S",2045,1,"Gopal, Vin","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,2,"Testa, Michael L.","P","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,3,"O'Scanlon, Declan J.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,4,"Cruz-Perez, Nilsa I.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,5,"Greenstein, Linda R.","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,6,"Singleton, Troy","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,7,"Pennacchio, Joseph","C","A",1/9/2024 0:00:00,,12/28/2023 0:00:00
"S",2045,8,"Holzapfel, James W.","C","A",1/25/2024 0:00:00,,1/25/2024 0:00:00
"S",2045,9,"Mukherji, Raj","C","A",2/27/2024 0:00:00,,2/27/2024 0:00:00
"S",2045,10,"Burzichelli, John J.","C","A",2/27/2024 0:00:00,,2/27/2024 0:00:00
"S",2045,11,"Bucco, Anthony M.","C","A",2/27/2024 0:00:00,,2/27/2024 0:00:00
"S",2045,12,"Diegnan, Patrick J.","C","A",2/27/2024 0:00:00,,2/27/2024 0:00:00
"S",2045,13,"Polistina, Vincent J.","C","A",2/27/2024 0:00:00,,2/27/2024 0:00:00
"S",2045,14,"Stack, Brian P.","C","A",3/4/2024 0:00:00,,3/6/2024 0:00:00
"S",2045,15,"Moriarty, Paul D.","C","A",3/7/2024 0:00:00,,3/7/2024 0:00:00
"S",2045,16,"Burgess, Renee C.","C","A",4/8/2024 0:00:00,,4/8/2024 0:00:00
